City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,Naze,28.3667,129.4833,78.93,92,100,6.44,JP,2022-07-11 15:03:04
284,Isabela,6.7085,121.9711,78.82,85,90,3.15,PH,2022-07-11 15:03:05
285,Kalaleh,37.3807,55.4916,100.38,9,0,5.84,IR,2022-07-11 15:03:05
286,Yeppoon,-23.1333,150.7333,49.78,78,25,8.59,AU,2022-07-11 15:03:06
287,Pisco,-13.7,-76.2167,63.01,80,47,0.69,PE,2022-07-11 15:03:06
288,Mantua,45.1667,10.7833,91.09,49,64,5.99,IT,2022-07-11 15:03:07
289,Upernavik,72.7868,-56.1549,38.03,88,99,4.74,GL,2022-07-11 15:03:07
290,Fernie,49.5,-115.0687,63.54,53,3,3.4,CA,2022-07-11 15:00:20
291,Brzesko,49.9691,20.6061,65.59,75,95,1.99,PL,2022-07-11 15:03:08
292,Denpasar,-8.65,115.2167,80.26,88,40,14.97,ID,2022-07-11 15:03:08
